,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
294,Natrone Means,7,9,51,5.7,7.3,47,1,12,0,0,13,0,69.2%,0,0,2,22.2%,1999,SD
295,Derek Loville,10,11,50,4.6,5.0,52,0,15,0,0,16,3,68.8%,0,0,4,36.4%,1999,DEN
296,Jerry Ellison,12,4,50,12.5,4.2,52,0,23,0,0,4,0,100.0%,0,0,2,50.0%,1999,NE
297,Basil Mitchell,16,6,48,8.0,3.0,35,0,20,0,0,9,1,66.7%,0,0,1,16.7%,1999,GB
298,Kevin Turner,8,9,46,5.1,5.8,30,0,14,0,0,14,4,64.3%,1,0,3,33.3%,1999,PHI
299,Brian Kinchen,16,5,45,9.0,2.8,9,2,26,1,0,10,2,50.0%,0,0,4,80.0%,1999,CAR
300,Tony Cline,10,4,45,11.3,4.5,14,0,30,1,0,5,0,80.0%,0,0,2,50.0%,1999,
301,Ronnie Powell,14,1,45,45.0,3.2,5,0,45,1,0,1,0,100.0%,0,0,1,100.0%,1999,CLE
302,Andy McCullough,2,3,45,15.0,22.5,26,0,31,1,0,6,2,50.0%,0,0,2,66.7%,1999,ARZ
303,James Thrash,16,3,44,14.7,2.8,4,0,25,1,0,8,1,37.5%,0,0,3,100.0%,1999,WSH
304,Joey Kent,8,3,42,14.0,5.3,11,0,25,1,0,6,0,50.0%,0,0,2,66.7%,1999,TEN
305,Donnell Bennett,15,10,41,4.1,2.7,47,0,12,0,0,12,1,83.3%,0,0,2,20.0%,1999,KC
306,Andrew Jordan,11,5,40,8.0,3.6,25,1,11,0,0,7,0,71.4%,0,0,2,40.0%,1999,MIN
307,Greg Comella,16,8,39,4.9,2.4,31,0,26,1,0,10,0,80.0%,0,0,2,25.0%,1999,NYG
308,Zola Davis,6,2,38,19.0,6.3,4,0,25,1,0,8,0,25.0%,0,0,2,100.0%,1999,CLE
309,Thurman Thomas,5,3,37,12.3,7.4,36,1,23,0,0,5,0,60.0%,0,0,2,66.7%,1999,BUF
310,Eric Green,10,7,37,5.3,3.7,5,2,10,0,0,10,0,70.0%,0,0,3,42.9%,1999,NYJ
311,Bam Morris,12,7,37,5.3,3.1,46,0,9,0,0,11,1,63.6%,1,0,0,0.0%,1999,KC
312,Travis McGriff,12,3,37,12.3,3.1,14,0,15,0,0,7,0,42.9%,0,0,2,66.7%,1999,DEN
313,Paul Shields,13,4,37,9.3,2.8,39,0,21,0,0,8,1,50.0%,0,0,2,50.0%,1999,IND
314,Tommy Vardell,6,7,36,5.1,6.0,25,0,11,0,0,11,1,63.6%,0,0,1,14.3%,1999,SF
315,Carlester Crumpler,11,2,35,17.5,3.2,20,1,31,1,0,4,0,50.0%,0,0,1,50.0%,1999,MIN
316,James Hodgins,15,6,35,5.8,2.3,28,0,10,0,0,6,0,100.0%,0,0,1,16.7%,1999,STL
317,Jamal Anderson,2,2,34,17.0,17.0,46,0,32,1,0,2,0,100.0%,0,0,1,50.0%,1999,ATL
318,Mario Bates,16,5,34,6.8,2.1,42,0,18,0,0,7,0,71.4%,0,0,2,40.0%,1999,ARZ
319,Sheldon Jackson,13,4,34,8.5,2.6,35,0,16,0,0,8,0,50.0%,0,0,1,25.0%,1999,BUF
320,Lamont Hall,14,3,33,11.0,2.4,20,0,13,0,0,3,0,100.0%,0,0,2,66.7%,1999,GB
321,Antowain Smith,14,2,32,16.0,2.3,27,0,23,0,0,2,0,100.0%,0,0,2,100.0%,1999,BUF
322,Cecil Collins,8,6,32,5.3,4.0,29,0,12,0,0,8,0,75.0%,0,0,0,0.0%,1999,MIA
323,Harold Shaw,8,2,31,15.5,3.9,0,0,29,1,0,3,0,66.7%,0,0,1,50.0%,1999,NE
324,Donald Driver,6,3,31,10.3,5.2,12,1,12,0,0,7,0,42.9%,0,0,2,66.7%,1999,GB
325,James Jenkins,16,1,30,30.0,1.9,25,0,30,1,0,4,0,25.0%,0,0,1,100.0%,1999,WSH
326,John Mills,15,3,30,10.0,2.0,25,0,14,0,0,3,0,100.0%,0,0,3,100.0%,1999,MIN
327,Matt Cushing,6,2,29,14.5,4.8,1,0,22,0,0,6,1,33.3%,0,0,1,50.0%,1999,PIT
328,Eric Bieniemy,16,2,28,14.0,1.8,32,0,27,1,0,2,0,100.0%,0,0,1,50.0%,1999,PHI
329,Itula Mili,16,5,28,5.6,1.8,20,1,8,0,0,9,1,55.6%,1,1,1,20.0%,1999,SEA
330,Autry Denson,5,4,28,7.0,5.6,21,0,10,0,0,6,2,66.7%,0,0,1,25.0%,1999,MIA
331,Yo Murphy,8,4,28,7.0,3.5,7,0,9,0,0,8,2,50.0%,0,0,1,25.0%,1999,
332,Brandon Stokley,2,1,28,28.0,14.0,0,1,28,1,0,8,0,12.5%,0,0,1,100.0%,1999,BAL
333,Lorenzo Neal,16,7,27,3.9,1.7,23,2,8,0,0,11,1,63.6%,0,0,3,42.9%,1999,TEN
334,Sean Bennett,9,4,27,6.8,3.0,38,0,16,0,0,8,0,50.0%,0,0,1,25.0%,1999,NYG
335,Terrell Davis,4,3,26,8.7,6.5,22,0,10,0,0,3,0,100.0%,0,0,2,66.7%,1999,DEN
336,Wilmont Perry,7,4,26,6.5,3.7,23,0,11,0,0,9,3,44.4%,0,0,1,25.0%,1999,NO
337,David Palmer,8,4,25,6.3,3.1,18,0,13,0,0,7,0,57.1%,0,0,3,75.0%,1999,MIN
338,"Ofodile, A",7,4,25,6.3,3.6,11,0,9,0,0,9,1,44.4%,0,0,0,0.0%,1999,BAL
339,Mike Lucky,14,5,25,5.0,1.8,14,0,8,0,0,5,0,100.0%,0,0,2,40.0%,1999,DAL
340,Michael Cloud,11,3,25,8.3,2.3,27,0,12,0,0,3,0,100.0%,0,0,1,33.3%,1999,KC
341,Tai Streets,2,2,25,12.5,12.5,7,0,14,0,0,3,0,66.7%,0,0,2,100.0%,1999,SF
342,Deion Sanders,14,4,24,6.0,1.7,7,0,9,0,0,9,0,44.4%,0,0,1,25.0%,1999,DAL
343,Chris Walsh,16,2,24,12.0,1.5,1,1,18,0,0,3,0,66.7%,0,0,1,50.0%,1999,MIN
344,Ki Carter,3,3,24,8.0,8.0,17,0,11,0,0,6,0,50.0%,0,0,1,33.3%,1999,CIN
345,Brock Olivo,14,4,24,6.0,1.7,20,0,12,0,0,8,2,50.0%,0,0,1,25.0%,1999,DET
346,John Avery,7,4,24,6.0,3.4,28,0,11,0,0,9,3,44.4%,0,0,1,25.0%,1999,
347,Dino Philyaw,13,2,23,11.5,1.8,14,0,14,0,0,5,1,40.0%,0,0,1,50.0%,1999,NO
348,Detron Smith,16,4,23,5.8,1.4,17,0,11,0,0,5,0,80.0%,0,0,2,50.0%,1999,DEN
349,Malcolm Johnson,6,2,23,11.5,3.8,0,0,18,0,0,10,0,20.0%,0,0,2,100.0%,1999,PIT
350,Amp Lee,7,3,22,7.3,3.1,7,1,15,0,0,4,0,75.0%,0,0,1,33.3%,1999,STL
351,Ty Hallock,15,6,22,3.7,1.5,13,0,7,0,0,8,1,75.0%,0,0,1,16.7%,1999,CHI
352,Chris Doering,3,3,22,7.3,7.3,10,0,9,0,0,5,0,60.0%,0,0,2,66.7%,1999,DEN
353,Cecil Martin,12,11,22,2.0,1.8,31,0,9,0,0,16,0,68.8%,0,0,1,9.1%,1999,PHI
354,Brian Finneran,3,2,21,10.5,7.0,5,0,11,0,0,4,0,50.0%,0,0,1,50.0%,1999,PHI
355,Jermaine Williams,15,1,20,20.0,1.3,16,0,20,0,0,1,0,100.0%,0,0,0,0.0%,1999,OAK
356,Craig Yeast,9,3,20,6.7,2.2,5,0,8,0,0,8,0,37.5%,0,0,1,33.3%,1999,CIN
357,Walter Rasby,16,3,19,6.3,1.2,13,1,13,0,0,5,1,60.0%,0,0,2,66.7%,1999,DET
358,Charles Woodson,16,1,19,19.0,1.2,13,0,19,0,0,1,0,100.0%,0,0,1,100.0%,1999,OAK
