index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
113.0,"Dedric Ward",16,22,325,14.8,20.3,94,3,56,4,0,56,1,39.3%,0,0,16,72.7%,1999.0,NYJ
114.0,"Cam Cleeland",11,26,325,12.5,29.5,85,1,31,2,0,48,2,54.2%,1,0,16,61.5%,1999.0,NO
116.0,"David LaFleur",16,35,322,9.2,20.1,89,7,25,1,0,53,5,66.0%,0,0,17,48.6%,1999.0,DAL
117.0,"Joe Jurevicius",16,18,318,17.7,19.9,122,1,71,3,0,40,6,45.0%,1,1,12,66.7%,1999.0,NYG
118.0,"Chris Calloway",11,22,314,14.3,28.5,24,1,33,1,0,42,3,52.4%,0,0,18,81.8%,1999.0,ATL
119.0,"Stanley Pritchett",14,43,312,7.3,22.3,245,4,30,2,0,58,1,74.1%,0,0,18,41.9%,1999.0,MIA
121.0,"Richie Anderson",16,29,302,10.4,18.9,217,3,29,3,0,46,3,63.0%,0,0,14,48.3%,1999.0,NYJ
122.0,"Troy Drayton",14,32,299,9.3,21.4,164,1,26,1,0,50,2,64.0%,0,0,14,43.8%,1999.0,MIA
123.0,"Jackie Harris",12,26,297,11.4,24.8,166,1,62,3,0,34,1,76.5%,0,0,10,38.5%,1999.0,TEN
124.0,"Reidel Anthony",13,30,296,9.9,22.8,34,1,30,2,0,60,5,50.0%,1,0,18,60.0%,1999.0,TB
125.0,"Luther Broughton",16,26,295,11.4,18.4,185,4,33,4,0,46,5,56.5%,0,0,18,69.2%,1999.0,PHI
126.0,"Duce Staley",16,41,294,7.2,18.4,293,2,19,0,0,66,9,62.1%,0,0,19,46.3%,1999.0,PHI
127.0,"Corey Dillon",15,31,290,9.4,19.3,333,1,23,0,0,50,7,62.0%,0,0,12,38.7%,1999.0,CIN
128.0,"E.G. Green",11,21,287,13.7,26.1,77,0,50,2,1,44,3,47.7%,0,0,16,76.2%,1999.0,IND
89.0,"Kevin Lockett",16,34,426,12.5,26.6,95,2,39,2,0,57,2,59.6%,0,0,26,76.5%,1999.0,KAN
70.0,"Larry Centers",16,69,544,7.9,34.0,462,3,33,1,0,90,2,76.7%,2,0,31,44.9%,1999.0,WAS
115.0,"Stephen Alexander",15,29,324,11.2,21.6,130,3,27,3,0,48,3,60.4%,0,0,18,62.1%,1999.0,WAS
129.0,"Courtney Hawkins",11,30,285,9.5,25.9,67,0,23,0,0,55,3,54.5%,0,0,19,63.3%,1999.0,PIT
130.0,"Fred Beasley",13,32,282,8.8,21.7,236,0,24,0,0,51,7,62.7%,0,0,16,50.0%,1999.0,SF
131.0,"Jermaine Lewis",15,25,281,11.2,18.7,52,2,46,3,0,57,3,43.9%,0,0,13,52.0%,1999.0,BAL
132.0,"Ryan Wetnight",16,38,277,7.3,17.3,103,1,22,0,0,62,5,61.3%,0,0,15,39.5%,1999.0,CHI
133.0,"Dave Moore",16,23,276,12.0,17.3,79,5,35,4,0,37,0,62.2%,0,0,12,52.2%,1999.0,TB
134.0,"Tony Simmons",15,19,276,14.5,18.4,86,2,58,3,1,33,2,57.6%,0,0,10,52.6%,1999.0,NE
135.0,"Leslie Shepherd",9,23,274,11.9,30.4,64,0,36,1,0,62,3,37.1%,0,0,13,56.5%,1999.0,CLE
136.0,"Donald Hayes",13,11,270,24.6,20.8,78,2,56,4,1,29,1,37.9%,0,0,10,90.9%,1999.0,CAR
