name,pca_1,pca_2,pca_5,pca_8,pca_13,pca_16,pca_18,pca_19,pca_21,pca_26,targets_2,receptions_2,rec_yards_2,rec_tds_2,rec_ypg_2,100yd_gms_2,first_down_ctchs_2,long_ctch_2,drops_2,DYAR_2,start_ratio_2,pct_team_tgts_2,pct_team_receptions_2,pct_of_team_passyards_2,pct_team_touchdowns_2,dropK_2,yacK_2,td_points_2,compilation_2,avg_starts,categories
Qadry Ismail,8.23360654312,-6.16843204087,-1.34719228509,-2.50869216512,0.615969842022,0.613591332952,0.318813630852,0.893249042329,-0.0734002856739,0.249385513007,134.0,74.0,1059.0,7.0,66.2,1.0,50.0,77.0,6.0,1.68,0.9375,0.218954248366,0.211428571429,0.297221442605,0.368421052632,1.94591014906,98.5165250236,1.13231418403,48.4968943571,0.934722222222,below average
Quentin McCord,-2.87829339397,0.651228510375,-3.4287246574,2.46685261152,-1.44927816578,-1.35987780721,-0.00631857218338,0.147905724995,-0.610522481588,-0.757138290093,23.0,9.0,121.0,0.0,13.4,0.0,6.0,33.0,6.0,-0.39,0.222222222222,0.05,0.0391304347826,0.0502491694352,0.0,1.94591014906,23.2148760331,0.0,0.662982945552,0.074074074074,below average
Ramses Barden,-4.95230527417,0.156147733279,-1.80998510455,1.7922846203,-0.184436253511,-0.155385630269,-0.372372279815,0.184386175502,0.147369092971,-0.136880529095,19.0,9.0,94.0,0.0,11.8,0.0,5.0,26.0,0.0,-0.29,0.0,0.0252659574468,0.0193548387097,0.0159918339571,0.0,0.0,8.34042553191,0.0,0.154216265302,0.0,below average
Randal Williams,-7.36406173272,-2.51801978368,4.41699302331,-0.21579894853,0.217233260142,0.400382926544,-0.0712919532561,0.301159898335,-0.0374736182811,0.178954295373,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224036124976,0.0,0.00549450549451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,below average
Randall Cobb,3.76153700111,7.88290834509,-0.205496264715,0.799922744843,1.35002039137,-0.30974420011,-0.421101038127,-0.651720662279,0.535963935158,-0.252418425195,47.0,31.0,433.0,4.0,72.2,2.0,18.0,48.0,1.0,1.21,0.666666666667,0.0788590604027,0.0809399477807,0.0978531073446,0.153846153846,0.69314718056,81.6258660508,0.270191139674,9.3847766093,0.4,all_pro
Randy Moss,15.104915383,-0.87727480118,5.4051819187,5.74583294689,2.79184698531,-1.15072567359,1.42281282971,1.20473158047,-1.60028155903,-3.5374139973,154.0,82.0,1233.0,10.0,77.1,4.0,59.0,73.0,7.0,2.63,1.0,0.277477477477,0.244776119403,0.344798657718,0.434782608696,2.07944154168,192.351175994,1.908959139,87.0837875716,1.0,all_pro
Rashied Davis,-2.56237861259,-2.38436536978,-1.47580935693,-1.89372780319,0.323094938442,0.402891107841,0.490762738103,-0.140950101033,0.125277908852,0.521536145512,67.0,35.0,445.0,2.0,27.8,0.0,21.0,36.0,7.0,-0.19,0.75,0.126654064272,0.114754098361,0.145377327671,0.1,2.07944154168,53.2943820225,0.0878121203941,8.74729820509,0.3125,below average
Reggie Brown,5.15432827984,1.32675589536,-1.48590321501,-1.36455581038,1.0584111557,1.08910564586,0.434761231089,1.17928820044,0.357122570205,2.13640483471,111.0,61.0,780.0,4.0,48.8,1.0,38.0,45.0,1.0,0.44,0.875,0.192374350087,0.174285714286,0.207723035952,0.166666666667,0.69314718056,35.3282051282,0.292707067981,23.9280228839,0.833333333333,below average
Reggie Wayne,1.43477100968,1.06010153304,-1.44443431818,0.902980235664,0.628369331763,1.07235244127,0.78153757099,0.0979752607032,-0.194066017283,-0.248501915098,107.0,68.0,838.0,7.0,52.4,2.0,49.0,57.0,3.0,2.24,1.0,0.158050221566,0.150442477876,0.165188251528,0.184210526316,1.38629436112,46.7828162291,0.566157092015,30.0492685579,0.709935897436,below average
Reggie Williams,-1.03744858303,0.6989146694,0.626027384738,1.75536012953,0.123697965659,0.254135202395,0.0666547913794,-1.0754011451,0.996719333148,0.0866430754534,91.0,52.0,616.0,4.0,38.5,0.0,28.0,48.0,8.0,1.61966154383,0.875,0.204035874439,0.195488721805,0.213740458015,0.235294117647,2.19722457734,132.785714286,0.413233507737,33.4753239555,0.75,quality starter
