,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league
1710,Randall Cobb,2012.0,22.0,2-64,GB,191.0,27.4,15.0,10.0,132.0,13.2,0.0,8.8,104.0,80.0,954.0,11.93,8.0,63.6,0.769,9.17,4.0,3.0,0.0,0.0,0.0,0.0,0.0,wr,3.0,480.0,45.0,0.563,39.0,9.0,9.0,1.2835545721,0.24,3.0,wr,9.38,31.0,4.46,33.5,115.0,4.34,7.08,11.56,43.0,4547.0,630.0,423.0,488.0,21.0,2011.0,70.0,0.533333333333,1.0,23.0,0.165079365079,0.189125295508,0.209808665054,0.186046511628,1.0
1711,James Jones,2012.0,28.0,3-78,GB,208.0,27.4,16.0,0.0,0.0,0.0,0.0,0.0,98.0,64.0,784.0,12.25,14.0,49.0,0.653,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,1.0,240.0,45.0,0.703,49.0,7.0,2.0,0.937350442461,0.225,2.87,wr,,,4.54,34.0,119.0,4.2,7.06,,43.0,4547.0,630.0,423.0,488.0,23.0,2007.0,73.0,1.0,2.0,66.0,0.155555555556,0.151300236407,0.172421376732,0.325581395349,5.0
1712,Jordy Nelson,2013.0,28.0,2-36,GB,215.0,26.9,16.0,0.0,0.0,0.0,0.0,0.0,127.0,85.0,1314.0,15.46,8.0,82.1,0.669,10.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,5.0,447.0,60.0,0.706,76.0,19.0,3.0,2.01721779996,0.267,4.02,wr,,,4.51,31.0,123.0,4.35,7.03,11.53,26.0,4425.0,596.0,383.0,437.0,23.0,2008.0,75.0,1.0,1.0,30.0,0.213087248322,0.221932114883,0.296949152542,0.307692307692,5.0
1713,Jordy Nelson,2014.0,29.0,2-36,GB,215.0,26.9,16.0,0.0,0.0,0.0,0.0,0.0,151.0,98.0,1519.0,15.5,13.0,94.9,0.649,10.06,0.0,1.0,0.0,0.0,0.0,1.0,0.0,wr,7.0,539.0,71.0,0.724,80.0,12.0,4.0,2.4607260927,0.268,4.82,wr,,,4.51,31.0,123.0,4.35,7.03,11.53,42.0,4729.0,605.0,392.0,534.0,23.0,2008.0,75.0,1.0,6.0,129.0,0.24958677686,0.25,0.321209558046,0.309523809524,6.0
1714,Randall Cobb,2014.0,24.0,2-64,GB,191.0,27.4,16.0,11.0,37.0,3.36,0.0,2.3,127.0,91.0,1287.0,14.14,12.0,80.4,0.717,10.13,4.0,1.0,0.0,0.0,0.0,1.0,0.0,wr,5.0,618.0,71.0,0.78,70.0,12.0,6.0,1.97579272211,0.357,4.79,wr,9.38,31.0,4.46,33.5,115.0,4.34,7.08,11.56,42.0,4729.0,605.0,392.0,534.0,21.0,2011.0,70.0,1.0,1.0,44.0,0.209917355372,0.232142857143,0.272150560372,0.285714285714,3.0
1715,Andre Johnson,2004.0,23.0,1-3,HOU,219.0,27.4,16.0,4.0,12.0,3.0,0.0,0.8,138.0,79.0,1142.0,14.46,6.0,71.4,0.572,8.28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,wr,4.0,489.0,53.0,0.671,54.0,13.0,4.0,1.64505645927,0.007,1.42,wr,,,4.40,39.0,132.0,,,,16.0,3246.0,471.0,286.0,309.0,23.0,2004.0,75.0,1.0,1.0,8.0,0.292993630573,0.276223776224,0.351817621688,0.375,0.0
1716,Andre Johnson,2006.0,25.0,1-3,HOU,219.0,27.4,16.0,3.0,14.0,4.67,0.0,0.9,163.0,103.0,1147.0,11.14,5.0,71.7,0.632,7.04,1.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,4.0,460.0,55.0,0.534,53.0,7.0,11.0,1.6673972592,0.002,1.68,wr,,,4.40,39.0,132.0,,,,14.0,2778.0,481.0,329.0,267.0,23.0,2004.0,75.0,1.0,2.0,48.0,0.338877338877,0.313069908815,0.412886969042,0.357142857143,2.0
1717,Andre Johnson,2008.0,27.0,1-3,HOU,219.0,27.4,16.0,0.0,0.0,0.0,0.0,0.0,171.0,115.0,1575.0,13.7,8.0,98.4,0.673,9.21,1.0,0.0,0.0,0.0,0.0,1.0,1.0,wr,8.0,493.0,79.0,0.687,65.0,7.0,5.0,2.56511025738,0.235,5.1,wr,,,4.40,39.0,132.0,,,,21.0,4267.0,555.0,367.0,366.0,23.0,2004.0,75.0,1.0,5.0,67.0,0.308108108108,0.313351498638,0.369111788142,0.380952380952,4.0
1718,Andre Johnson,2009.0,28.0,1-3,HOU,219.0,27.4,16.0,2.0,10.0,5.0,0.0,0.6,171.0,101.0,1569.0,15.53,9.0,98.1,0.591,9.18,1.0,1.0,0.0,0.0,0.0,1.0,1.0,wr,6.0,554.0,69.0,0.683,72.0,14.0,7.0,2.52580688846,0.066,2.65,wr,,,4.40,39.0,132.0,,,,29.0,4654.0,593.0,399.0,388.0,23.0,2004.0,75.0,1.0,1.0,14.0,0.288364249578,0.25313283208,0.337129351096,0.310344827586,5.0
1719,Andre Johnson,2010.0,29.0,1-3,HOU,219.0,27.4,13.0,2.0,10.0,5.0,0.0,0.8,138.0,86.0,1216.0,14.14,8.0,93.5,0.623,8.81,1.0,1.0,0.0,0.0,0.0,1.0,0.0,wr,6.0,346.0,59.0,0.686,60.0,12.0,7.0,1.81072664801,0.129,2.81,wr,,,4.40,39.0,132.0,,,,24.0,4144.0,574.0,365.0,390.0,23.0,2004.0,75.0,1.0,3.0,32.0,0.240418118467,0.235616438356,0.293436293436,0.333333333333,6.0
1720,Andre Johnson,2012.0,31.0,1-3,HOU,219.0,27.4,16.0,0.0,0.0,0.0,0.0,0.0,162.0,112.0,1598.0,14.27,4.0,99.9,0.691,9.86,0.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,6.0,556.0,79.0,0.705,60.0,12.0,6.0,2.60477982425,0.196,4.15,wr,,,4.40,39.0,132.0,,,,24.0,4426.0,643.0,417.0,463.0,23.0,2004.0,75.0,1.0,2.0,24.0,0.251944012442,0.268585131894,0.361048350655,0.166666666667,8.0
1721,Andre Johnson,2013.0,32.0,1-3,HOU,219.0,27.4,16.0,0.0,0.0,0.0,0.0,0.0,181.0,109.0,1407.0,12.91,5.0,87.9,0.602,7.77,0.0,1.0,0.0,0.0,0.0,1.0,0.0,wr,6.0,421.0,69.0,0.633,62.0,12.0,8.0,2.19843100202,-0.023,1.5,wr,,,4.40,39.0,132.0,,,,19.0,3813.0,633.0,371.0,276.0,23.0,2004.0,75.0,1.0,4.0,47.0,0.285939968404,0.293800539084,0.369000786782,0.263157894737,9.0
1722,DeAndre Hopkins,2014.0,22.0,1-27,HOU,214.0,28.2,16.0,0.0,0.0,0.0,0.0,0.0,127.0,76.0,1210.0,15.92,6.0,75.6,0.598,9.53,2.0,2.0,0.0,0.0,0.0,0.0,0.0,wr,4.0,387.0,57.0,0.75,76.0,12.0,4.0,1.79531542442,0.103,2.37,wr,10.08,33.38,4.57,36.0,115.0,4.5,,,22.0,3352.0,485.0,295.0,372.0,21.0,2013.0,73.0,1.0,2.0,26.0,0.261855670103,0.257627118644,0.360978520286,0.272727272727,1.0
1723,DeAndre Hopkins,2015.0,23.0,1-27,HOU,214.0,28.2,16.0,0.0,0.0,0.0,0.0,0.0,192.0,111.0,1521.0,13.7,11.0,95.1,0.578,7.92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,6.0,173.0,83.0,0.748,61.0,12.0,3.0,2.44016348863,0.048,2.68,wr,10.08,33.38,4.57,36.0,115.0,4.5,,,29.0,3945.0,653.0,373.0,339.0,21.0,2013.0,73.0,1.0,5.0,77.0,0.294027565084,0.297587131367,0.385551330798,0.379310344828,2.0
1724,Marvin Harrison,1999.0,27.0,1-19,IND,175.0,23.7,16.0,1.0,4.0,4.0,0.0,0.3,184.0,115.0,1663.0,14.46,12.0,103.9,0.625,9.04,2.0,1.0,0.0,0.0,0.0,1.0,1.0,wr,9.0,425.0,79.0,0.687,57.0,20.0,9.0,2.74059159984,0.102,3.54,wr,,,0,,,,,,26.0,4293.0,589.0,357.0,439.0,27.0,1999.0,72.0,1.0,4.0,92.0,0.312393887946,0.322128851541,0.38737479618,0.461538461538,0.0
1725,Marvin Harrison,2000.0,28.0,1-19,IND,175.0,23.7,16.0,0.0,0.0,0.0,0.0,0.0,169.0,102.0,1413.0,13.85,14.0,88.3,0.604,8.36,2.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,8.0,321.0,70.0,0.686,78.0,12.0,9.0,2.22031219382,0.135,3.55,wr,,,0,,,,,,34.0,4476.0,603.0,374.0,446.0,27.0,1999.0,72.0,1.0,5.0,66.0,0.280265339967,0.272727272727,0.315683646113,0.411764705882,1.0
1726,Marvin Harrison,2001.0,29.0,1-19,IND,175.0,23.7,16.0,1.0,3.0,3.0,0.0,0.2,164.0,109.0,1524.0,13.98,15.0,95.3,0.665,9.29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,6.0,479.0,75.0,0.688,68.0,15.0,7.0,2.44512823527,0.292,5.48,wr,,,0,,,,,,27.0,3989.0,557.0,349.0,413.0,27.0,1999.0,72.0,1.0,0.0,0.0,0.294434470377,0.312320916905,0.382050639258,0.555555555556,2.0
